2011,105000,1800,160,Srebrny
2011,149000,2000,140,Srebrny
2004,290000,1900,130,Beżowy
2015,76000,2000,150,Czarny
2004,304000,1900,101,Srebrny
2017,1,1968,190,Biały
2013,215275,2000,140,Biały
2004,200000,1900,130,Srebrny
2000,230000,1600,102,Niebieski
2006,225000,1986,140,Brązowy
2015,130000,2000,240,Czarny
2006,198000,2000,140,Niebieski
1997,280000,1800,150,Srebrny
2006,275687,1998,140,Szary
2018,5,1798,180,Czarny
1998,290000,1896,110,Zielony
2007,231000,1900,105,Czarny
1998,300000,1800,125,Niebieski
2007,245500,1968,170,Szary
2012,244000,1968,140,Czarny
2004,292000,1968,136,Srebrny
2007,210112,1984,150,Czarny
2013,126000,1600,105,Szary
2009,260000,2000,170,Czarny
2018,5,1798,180,Czarny
2003,344463,1896,131,Czarny
2006,254758,1896,105,Brązowy
2006,238000,1981,140,Czarny
2001,275000,1896,130,Srebrny
2011,161000,1798,160,Brązowy
2006,270000,1968,170,Czarny
2003,324357,1900,130,Szary
2014,123000,1999,140,Czarny
2004,211750,1896,101,Srebrny
2003,250000,1600,102,Srebrny
1997,226000,1796,125,Srebrny
2001,298000,1900,131,Złoty
2004,287000,1896,130,Inny kolor
2005,286000,1900,101,Czarny
2017,3550,1968,190,Biały
2017,3550,1968,190,Biały
2017,6600,1798,179,Czarny
2008,208000,2000,140,Srebrny
2010,212000,1998,140,Srebrny
2018,5,1798,180,Czarny
2009,233000,1998,140,Srebrny
2017,27500,1798,180,Srebrny
2018,5,1798,180,Srebrny
2002,251000,2000,130,Szary
2002,175000,1600,102,Szary
2014,113014,1968,140,Czarny
2000,250000,1595,101,Niebieski
2017,3000,2000,150,Brązowy
1999,356700,1781,125,Czerwony
2012,208000,2000,140,Srebrny
2015,85000,1600,120,Szary
1999,373000,1896,115,Czarny
1999,281017,1600,101,Srebrny
2006,238000,1900,105,Szary
2014,219000,2000,150,Biały
2018,7999,1798,180,Srebrny
2003,271200,1896,130,Srebrny
2018,7999,1798,180,Szary
2001,371000,1900,101,Niebieski
2008,205000,1896,105,Czarny
2004,183000,1896,105,Inny kolor
2007,355000,1968,140,Szary
2017,3,1800,180,Szary
2017,5,2000,190,Biały
2017,5,2000,150,Brązowy
2007,240000,1968,140,Czarny
2003,199892,1600,102,Szary
2018,5,2000,190,Czarny
2008,254800,1968,140,Niebieski
2004,272000,1896,100,Inny kolor
2011,200000,2000,140,Inny kolor
2002,249000,1900,130,Srebrny
2003,235000,1900,130,Niebieski
2012,188679,1600,105,Szary
2017,10,1968,150,Biały
2004,182000,1896,101,Szary
1997,261000,1781,125,Inny kolor
2010,249000,2000,140,Szary
1996,253000,1595,101,Srebrny
2009,280000,2000,170,Czarny
1995,300000,1900,110,Biały
2006,337338,20,140,Czarny
1998,321099,1781,150,Srebrny
2018,5,1400,150,Niebieski
2018,5,1800,180,Biały
2018,5,1800,180,Biały
2018,5,1800,180,Niebieski
2018,5,1800,180,Szary
2018,5,2000,150,Czarny
2018,5,1400,150,Biały
2005,149426,1968,140,Niebieski
2010,214151,1968,140,Czarny
1999,279039,1900,90,Bordowy
2003,329717,1896,131,Niebieski
2007,260000,1900,105,Czarny
2009,218000,1896,105,Szary
1999,400000,1900,110,Niebieski
2014,207914,1998,140,Czarny
2004,170230,2000,131,Czarny
2013,220000,1998,140,Srebrny
2006,198000,1998,170,Czarny
2006,218000,1896,105,Czarny
2013,145824,2000,177,Szary
2013,134000,3600,300,Czarny
2008,152000,1968,140,Srebrny
2007,155000,1968,170,Czarny
2006,304000,2000,140,Niebieski
2015,148000,1968,140,Biały
2015,132000,1968,150,Czarny
2013,198000,1968,140,Złoty
2008,197699,1900,105,Srebrny
2008,215000,2000,180,Inny kolor
2006,216000,2000,140,Szary
2011,142000,2000,140,Beżowy
2013,112000,2000,210,Biały
2007,423861,1968,170,Czarny
2006,193575,1968,140,Niebieski
2005,349478,2000,140,Srebrny
2007,178000,2000,170,Zielony
2013,17300,1390,160,Brązowy
2013,85000,2000,177,Srebrny
2011,180000,1968,140,Szary
2016,136200,1968,150,Szary
1996,236940,189600,110,Zielony
2007,248000,2000,140,Złoty
2007,231000,1968,140,Czarny
2007,301254,1998,140,Srebrny
2009,270000,2000,140,Srebrny
2016,85579,200,150,Szary
2011,179800,2000,140,Niebieski
2012,193000,1968,140,Srebrny
2006,278000,2000,150,Niebieski
2001,254236,1800,150,Srebrny
2015,141000,1600,120,Inny kolor
2005,281000,1998,131,Czarny
2014,177000,2000,140,Brązowy
2018,1,1800,180,Srebrny
2001,151222,1781,150,Srebrny
2001,378000,1900,130,Szary
2006,256000,2000,140,Czarny
2004,215783,1900,130,Niebieski
2006,212000,1989,170,Inny kolor
2014,198000,1598,105,Czarny
2002,246000,1896,131,Czerwony
2007,255000,1968,170,Czarny
2003,188890,1800,150,Niebieski
1999,244000,1900,115,Niebieski
2007,205000,1900,105,Inny kolor
2008,206000,2000,170,Czarny
2013,138000,2000,177,Biały
1999,226000,1600,101,Czerwony
2010,250000,1968,140,Biały
2011,116787,1600,105,Czarny
2007,210000,1998,140,Szary
2004,263000,1896,130,Niebieski
2005,295000,2000,140,Srebrny
2005,306000,2000,140,Szary
2004,187791,1900,105,Srebrny
2005,198000,2000,140,Szary
2015,138000,2000,150,Szary
2001,280000,1896,130,Srebrny
2011,228000,2000,140,Srebrny
1997,293622,1800,125,Zielony
2009,200700,2000,140,Niebieski
2011,225000,1968,140,Szary
2000,246000,1900,115,Szary
2007,246000,1896,105,Czarny
2005,350000,1900,101,Beżowy
2012,197000,1600,105,Inny kolor
2006,360600,1896,105,Niebieski
1998,300000,1900,110,Zielony
2002,14900,1596,102,Szary
2005,262500,1896,131,Srebrny
1997,290000,1900,110,Srebrny
2015,49900,1800,180,Szary
2002,189457,2000,115,Zielony
2014,95000,1968,140,Brązowy
2007,145645,1984,150,Czarny
2007,214606,1900,105,Czarny
2001,224000,1984,115,Zielony
2008,186650,1984,150,Niebieski
2001,164000,1595,102,Inny kolor
1999,260000,1800,125,Srebrny
2006,297000,1968,140,Srebrny
2005,284105,1968,140,Inny kolor
2005,219080,1900,101,Srebrny
2003,186950,1798,150,Inny kolor
2005,170000,2000,150,Srebrny
2008,298572,1968,140,Czarny
2008,192000,2000,140,Niebieski
2003,212000,1900,105,Szary
2002,258000,1800,150,Niebieski
2004,201000,1600,102,Niebieski
2008,243000,1900,105,Inny kolor
1998,353100,1896,90,Niebieski
2012,181000,1600,105,Czarny
2012,181000,1600,105,Czarny
2007,207000,1900,105,Czarny
2003,142500,2000,131,Niebieski
2005,232000,1600,115,Srebrny
2008,200000,1896,105,Szary
1998,316000,1600,101,Zielony
2002,253000,1896,131,Szary
2000,288650,1900,115,Niebieski
2001,362000,1896,101,Niebieski
2004,296000,2000,136,Czarny
2015,124000,1600,120,Srebrny
2011,188346,2000,143,Inny kolor
2007,240000,1900,105,Srebrny
1998,215000,1600,100,Inny kolor
2008,183545,1986,140,Srebrny
2007,242000,2000,140,Inny kolor
2016,49000,179800,180,Czarny
2007,213800,1968,170,Srebrny
2006,242000,1984,149,Srebrny
2014,122355,1968,140,Czarny
2011,178000,1798,160,Brązowy
2007,221637,1968,140,Srebrny
2006,212000,2000,170,Czarny
2001,298000,1900,130,Niebieski
